xlsx_city,xlsx_town,xlsx_admin_village,blocked_count
湛江,黄坡镇,龙塘行政村,9
潮州,凤凰镇,东赏行政村,9
肇庆,南街镇,护国社区,9
肇庆,南街镇,永青社区,9
肇庆,大岗镇,连会行政村,9
肇庆,官圩镇,崩坭行政村,9
肇庆,横山镇,曾宽行政村,9
肇庆,河台镇,大崑行政村,9
肇庆,诗洞镇,健丰行政村,9
肇庆,都平镇,官诵行政村,9
肇庆,黄岗街道,兰龙社区,9
茂名,七迳镇,马鹿行政村,9
茂名,全大成镇,埔尾行政村,9
茂名,全大成镇,禄豪行政村,9
茂名,江湖镇,陈谢行政村,9
茂名,罐粤那务镇,上埌行政村,9
茂名,良光镇,东埔行政村,9
茂名,金粤合江镇,大埔行政村,9
阳江,城北街道,金郊行政村,9
阳江,岗美镇,潭筋行政村,9
阳江,河镇,中和行政村,9
韶关,丹霞街道,南湖行政村,9
韶关,丹霞街道,官口行政村,9
韶关,丹霞街道,车湾行政村,9
韶关,周田镇,新庄行政村,9
韶关,周田镇,谭屋行政村,9
韶关,扶溪镇,长坑行政村,9
韶关,梅花镇,坛司行政村,9
韶关,樟市镇,径口行政村,9
韶关,界址镇,大坊行政村,9
韶关,秀水镇,选家洞行政村,9
韶关,长江镇,凌溪行政村,9
韶关,长江镇,油洞行政村,9
韶关,雪红山镇,中山行政村,9
韶关,雪红山镇,前洞行政村,9
云浮,历洞镇,旺埔行政村,8
云浮,围底镇,陀埽行政村,8
广州,景泰街道,朝阳行政村,8
惠州,包高潭镇,黄沙行政村,8
惠州,黄埠镇,榄涌行政村,8
梅州,小胜镇,硃坑行政村,8
汕尾,水唇镇,护砼行政村,8
汕尾,粤新田镇,新村行政村,8
汕尾,联安镇,陆安行政村,8
江门,四九镇,上荫行政村,8
江门,恩城街道,东门社区,8
江门,苍城镇,联兴行政村,8
河源,全曾田镇,宁山行政村,8
河源,全曾田镇,板仓行政村,8
河源,全曾田镇,邬洞行政村,8
河源,全曾田镇,黄村坳行政村,8
河源,忠信镇,上堂行政村,8
河源,新回龙镇,上蓝行政村,8
清远,全龙塘镇,田龙社区,8
清远,大崑镇,东坑行政村,8
清远,山塘镇,坑口行政村,8
清远,山塘镇,坑尾行政村,8
清远,山塘镇,恒平行政村,8
清远,粤石潭镇,联滘行政村,8
清远,飞来峡镇,清华社区,8
湛江,东简街道,民安街道西山行政村,8
湛江,全覃巴镇,上榕行政村,8
湛江,全长山镇,蕉林行政村,8
湛江,唐家镇,境庄行政村,8
湛江,津前社区,龙池行政村,8
湛江,西街,秧义行政村,8
湛江,超全南三镇,蓝田行政村,8
湛江,超全南山镇,那松行政村,8
湛江,超全塘瑷镇,郊桥行政村,8
湛江,黄坡镇,大路行政村,8
潮州,上饶镇,轝塘行政村,8
潮州,凤凰镇,乌岽行政村,8
肇庆,中洲镇,龙潭行政村,8
肇庆,南丰镇,连岐行政村,8
肇庆,大湾镇,三稔行政村,8
肇庆,大湾镇,三股行政村,8
肇庆,大湾镇,联星社区,8
肇庆,桂城街道,院主一社区,8
肇庆,桂城街道,龙二社区,8
茂名,大坡镇,鹤垌行政村,8
茂名,新坡镇,合水行政村,8
茂名,潘州街道,官杨行政村,8
茂名,石鼓镇,上桐行政村,8
茂名,石鼓镇,冲口行政村,8
茂名,罐粤那务镇,泉埔行政村,8
茂名,金粤合江镇,沙桐岭行政村,8
茂名,金精粤石板镇,和潭行政村,8
茂名,雪北界镇,文桐行政村,8
阳江,品松柏镇,双黄行政村,8
韶关,丹霞街道,狮井行政村,8
韶关,周田镇,上道行政村,8
韶关,坪田镇,新墟行政村,8
韶关,城口镇,东坑行政村,8
韶关,实票区,厚坑行政村,8
韶关,扶溪镇,扶中行政村,8
韶关,扶溪镇,斜周行政村,8
韶关,新韶镇,侯山行政村,8
韶关,长江镇,里周行政村,8
韶关,雪红山镇,烟竹行政村,8
