xlsx_row_number,xlsx_city,xlsx_town,xlsx_admin_village,xlsx_natural_village,matched_db_city,matched_db_town,matched_db_admin_village,matched_db_admin_village_candidates,candidate_count,candidates,suggested_candidates,blocked_reason_guess
22819,云浮,南江口镇,双冲行政村,黄茅村,云浮市,南江口镇,,,0,,,admin_unmatched_or_ambiguous
20919,云浮,南盛镇,大视行政村,坑尾村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20917,云浮,南盛镇,大视行政村,大视村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20923,云浮,南盛镇,大视行政村,新村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20922,云浮,南盛镇,大视行政村,王屋村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20921,云浮,南盛镇,大视行政村,田料村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20920,云浮,南盛镇,大视行政村,路头坑村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20916,云浮,南盛镇,大视行政村,车陂村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20918,云浮,南盛镇,大视行政村,降下村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20915,云浮,南盛镇,大视行政村,黎屋村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20931,云浮,南盛镇,视岭行政村,三元坪村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20933,云浮,南盛镇,视岭行政村,上六村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20926,云浮,南盛镇,视岭行政村,佛子斗村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20925,云浮,南盛镇,视岭行政村,办坑村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20934,云浮,南盛镇,视岭行政村,塘角村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20927,云浮,南盛镇,视岭行政村,大坑洞村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20924,云浮,南盛镇,视岭行政村,暗上洞村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20928,云浮,南盛镇,视岭行政村,横坑村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20929,云浮,南盛镇,视岭行政村,滑石村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20932,云浮,南盛镇,视岭行政村,犁木形村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
20930,云浮,南盛镇,视岭行政村,视岭村,云浮市,南盛镇,,,0,,,admin_unmatched_or_ambiguous
22729,云浮,历洞镇,旺埔行政村,大磨山村,云浮市,历洞镇,,,0,,,admin_unmatched_or_ambiguous
22727,云浮,历洞镇,旺埔行政村,崩岗村,云浮市,历洞镇,,,0,,,admin_unmatched_or_ambiguous
22722,云浮,历洞镇,旺埔行政村,旺埔村,云浮市,历洞镇,,,0,,,admin_unmatched_or_ambiguous
22723,云浮,历洞镇,旺埔行政村,河背村,云浮市,历洞镇,,,0,,,admin_unmatched_or_ambiguous
22728,云浮,历洞镇,旺埔行政村,稔子窝村,云浮市,历洞镇,,,0,,,admin_unmatched_or_ambiguous
22725,云浮,历洞镇,旺埔行政村,罗屋村,云浮市,历洞镇,,,0,,,admin_unmatched_or_ambiguous
22724,云浮,历洞镇,旺埔行政村,赖屋村,云浮市,历洞镇,,,0,,,admin_unmatched_or_ambiguous
22726,云浮,历洞镇,旺埔行政村,马村,云浮市,历洞镇,,,0,,,admin_unmatched_or_ambiguous
21560,云浮,嘴粤桂圩镇,木行政村,园珠村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21565,云浮,嘴粤桂圩镇,木行政村,大垌村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21558,云浮,嘴粤桂圩镇,木行政村,大寨村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21564,云浮,嘴粤桂圩镇,木行政村,山塘村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21566,云浮,嘴粤桂圩镇,木行政村,梦腰村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21561,云浮,嘴粤桂圩镇,木行政村,河六村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21567,云浮,嘴粤桂圩镇,木行政村,片村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21568,云浮,嘴粤桂圩镇,木行政村,石井村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21559,云浮,嘴粤桂圩镇,木行政村,细寨村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21562,云浮,嘴粤桂圩镇,木行政村,鸡村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21563,云浮,嘴粤桂圩镇,木行政村,龙状村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21618,云浮,嘴粤桂圩镇,莆口行政村,二塘排村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21613,云浮,嘴粤桂圩镇,莆口行政村,平山村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21614,云浮,嘴粤桂圩镇,莆口行政村,泗凤村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21615,云浮,嘴粤桂圩镇,莆口行政村,赤泥村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21617,云浮,嘴粤桂圩镇,莆口行政村,道枝村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21616,云浮,嘴粤桂圩镇,莆口行政村,龙田村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21636,云浮,嘴粤桂圩镇,螺村行政村,信务村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21637,云浮,嘴粤桂圩镇,螺村行政村,大仆村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
21635,云浮,嘴粤桂圩镇,螺村行政村,螺村,云浮市,桂圩镇,,,0,,,admin_unmatched_or_ambiguous
19515,云浮,围底镇,杨村行政村,杨村,云浮市,围底镇,,,0,,,admin_unmatched_or_ambiguous
19514,云浮,围底镇,杨村行政村,泗涧村,云浮市,围底镇,,,0,,,admin_unmatched_or_ambiguous
19522,云浮,围底镇,满社行政村,满社村,云浮市,围底镇,,,0,,,admin_unmatched_or_ambiguous
19520,云浮,围底镇,满社行政村,百子塘村,云浮市,围底镇,,,0,,,admin_unmatched_or_ambiguous
